time	V(n001)	I(R1)
8.172109810888976e-04	2.561641e-03	-7.656941e-07
8.182681785140758e-04	2.475223e-03	1.896792e-06
8.193087369749857e-04	2.129239e-03	4.292411e-06
8.208570060008830e-04	1.236896e-03	6.898263e-06
8.222729846795928e-04	1.791156e-04	7.900772e-06
8.235239344904352e-04	-7.818762e-04	7.523748e-06
8.247993982157617e-04	-1.628101e-03	5.986804e-06
8.263308138954883e-04	-2.285558e-03	2.990090e-06
8.274200454923510e-04	-2.445121e-03	4.136988e-07
8.285108819068175e-04	-2.322408e-03	-2.186617e-06
8.296114463603849e-04	-1.929618e-03	-4.526445e-06
8.312140344382306e-04	-9.931579e-04	-6.868431e-06
8.325925454344141e-04	7.306924e-06	-7.547912e-06
8.338341781729787e-04	9.037159e-04	-6.982325e-06
8.350900850839643e-04	1.663281e-03	-5.370362e-06
8.367040728419940e-04	2.244057e-03	-2.217152e-06
8.376563183921005e-04	2.329713e-03	-3.946749e-08
8.387820934187874e-04	2.166431e-03	2.491347e-06
8.399310832948973e-04	1.729191e-03	4.729347e-06
8.416083779404591e-04	7.414605e-04	6.801349e-06
8.429498953704457e-04	-1.989963e-04	7.165201e-06
8.442102855458420e-04	-1.044870e-03	6.381324e-06
8.454952262903214e-04	-1.732317e-03	4.597053e-06
8.471949380144234e-04	-2.196515e-03	1.258060e-06
8.482314361437373e-04	-2.186529e-03	-1.013456e-06
8.492636329072791e-04	-1.950354e-03	-3.148487e-06
8.506550370091238e-04	-1.330673e-03	-5.431090e-06
8.523190419829557e-04	-3.004415e-04	-6.788152e-06
8.536265964927992e-04	5.736826e-04	-6.609502e-06
8.549642061091487e-04	1.358448e-03	-5.317287e-06
8.564198009905569e-04	1.934030e-03	-2.921022e-06
8.575780549805183e-04	2.113227e-03	-5.771493e-07
8.586424970886379e-04	2.035050e-03	1.630637e-06
8.596968242495404e-04	1.738359e-03	3.619847e-06
8.612553012400419e-04	9.874842e-04	5.743923e-06
8.626632195998830e-04	1.163038e-04	6.520929e-06
8.639122957189551e-04	-6.730183e-04	6.173234e-06
8.651836864636011e-04	-1.362676e-03	4.879151e-06
